,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Gender_male,Embarked_Q,Embarked_S,fare_class
0,1,0,3,2,1,0,7.25,1,0,1,0
1,2,1,1,2,1,0,71.2833,0,0,0,4
2,3,1,3,2,0,0,7.925,0,0,1,1
3,4,1,1,2,1,0,53.1,0,0,1,4
4,5,0,3,2,0,0,8.05,1,0,1,1
5,6,0,3,3,0,0,8.4583,1,1,0,1
6,7,0,1,2,0,0,51.8625,1,0,1,4
7,8,0,3,0,3,1,21.075,1,0,1,2
8,9,1,3,2,0,2,11.1333,0,0,1,1
9,10,1,2,1,1,0,30.0708,0,0,0,2
10,11,1,3,0,1,1,16.7,0,0,1,2
11,12,1,1,2,0,0,26.55,0,0,1,2
12,13,0,3,2,0,0,8.05,1,0,1,1
13,14,0,3,2,1,5,31.275,1,0,1,4
14,15,0,3,1,0,0,7.8542,0,0,1,0
15,16,1,2,2,0,0,16.0,0,0,1,2
16,17,0,3,0,4,1,29.125,1,1,0,2
17,18,1,2,3,0,0,13.0,1,0,1,1
18,19,0,3,2,1,0,18.0,0,0,1,2
19,20,1,3,3,0,0,7.225,0,0,0,0
20,21,0,2,2,0,0,26.0,1,0,1,2
21,22,1,2,2,0,0,13.0,1,0,1,1
22,23,1,3,1,0,0,8.0292,0,1,0,1
23,24,1,1,2,0,0,35.5,1,0,1,4
24,25,0,3,0,3,1,21.075,0,0,1,2
25,26,1,3,2,1,5,31.3875,0,0,1,4
26,27,0,3,3,0,0,7.225,1,0,0,0
27,28,0,1,2,3,2,263.0,1,0,1,4
28,29,1,3,3,0,0,7.8792,0,1,0,0
29,30,0,3,3,0,0,7.8958,1,0,1,0
30,31,0,1,2,0,0,27.7208,1,0,0,2
31,32,1,1,3,1,0,146.5208,0,0,0,4
32,33,1,3,3,0,0,7.75,0,1,0,0
33,34,0,2,3,0,0,10.5,1,0,1,1
34,35,0,1,2,1,0,82.1708,1,0,0,4
35,36,0,1,2,1,0,52.0,1,0,1,4
36,37,1,3,3,0,0,7.2292,1,0,0,0
37,38,0,3,2,0,0,8.05,1,0,1,1
38,39,0,3,1,2,0,18.0,0,0,1,2
39,40,1,3,1,1,0,11.2417,0,0,0,1
40,41,0,3,2,1,0,9.475,0,0,1,1
41,42,0,2,2,1,0,21.0,0,0,1,2
42,43,0,3,3,0,0,7.8958,1,0,0,0
43,44,1,2,0,1,2,41.5792,0,0,0,4
44,45,1,3,2,0,0,7.8792,0,1,0,0
45,46,0,3,3,0,0,8.05,1,0,1,1
46,47,0,3,3,1,0,15.5,1,1,0,2
47,48,1,3,3,0,0,7.75,0,1,0,0
48,49,0,3,3,2,0,21.6792,1,0,0,2
49,50,0,3,1,1,0,17.8,0,0,1,2
50,51,0,3,0,4,1,39.6875,1,0,1,4
51,52,0,3,2,0,0,7.8,1,0,1,0
52,53,1,1,2,1,0,76.7292,0,0,0,4
53,54,1,2,2,1,0,26.0,0,0,1,2
54,55,0,1,3,0,1,61.9792,1,0,0,4
55,56,1,1,3,0,0,35.5,1,0,1,4
56,57,1,2,2,0,0,10.5,0,0,1,1
57,58,0,3,2,0,0,7.2292,1,0,0,0
58,59,1,2,0,1,2,27.75,0,0,1,2
59,60,0,3,0,5,2,46.9,1,0,1,4
60,61,0,3,2,0,0,7.2292,1,0,0,0
61,62,1,1,2,0,0,80.0,0,0,0,4
62,63,0,1,2,1,0,83.475,1,0,1,4
63,64,0,3,0,3,2,27.9,1,0,1,2
64,65,0,1,3,0,0,27.7208,1,0,0,2
65,66,1,3,3,1,1,15.2458,1,0,0,2
66,67,1,2,2,0,0,10.5,0,0,1,1
67,68,0,3,2,0,0,8.1583,1,0,1,1
68,69,1,3,1,4,2,7.925,0,0,1,1
69,70,0,3,2,2,0,8.6625,1,0,1,1
70,71,0,2,2,0,0,10.5,1,0,1,1
71,72,0,3,1,5,2,46.9,0,0,1,4
72,73,0,2,2,0,0,73.5,1,0,1,4
73,74,0,3,2,1,0,14.4542,1,0,0,1
74,75,1,3,2,0,0,56.4958,1,0,1,4
75,76,0,3,2,0,0,7.65,1,0,1,0
76,77,0,3,3,0,0,7.8958,1,0,1,0
77,78,0,3,3,0,0,8.05,1,0,1,1
78,79,1,2,0,0,2,29.0,1,0,1,2
79,80,1,3,2,0,0,12.475,0,0,1,1
80,81,0,3,2,0,0,9.0,1,0,1,1
81,82,1,3,2,0,0,9.5,1,0,1,1
82,83,1,3,3,0,0,7.7875,0,1,0,0
83,84,0,1,2,0,0,47.1,1,0,1,4
84,85,1,2,1,0,0,10.5,0,0,1,1
85,86,1,3,2,3,0,15.85,0,0,1,2
86,87,0,3,1,1,3,34.375,1,0,1,4
87,88,0,3,3,0,0,8.05,1,0,1,1
88,89,1,1,2,3,2,263.0,0,0,1,4
89,90,0,3,2,0,0,8.05,1,0,1,1
90,91,0,3,2,0,0,8.05,1,0,1,1
91,92,0,3,2,0,0,7.8542,1,0,1,0
92,93,0,1,2,1,0,61.175,1,0,1,4
93,94,0,3,2,1,2,20.575,1,0,1,2
94,95,0,3,2,0,0,7.25,1,0,1,0
95,96,0,3,3,0,0,8.05,1,0,1,1
96,97,0,1,3,0,0,34.6542,1,0,0,4
97,98,1,1,2,0,1,63.3583,1,0,0,4
98,99,1,2,2,0,1,23.0,0,0,1,2
99,100,0,2,2,1,0,26.0,1,0,1,2
100,101,0,3,2,0,0,7.8958,0,0,1,0
101,102,0,3,3,0,0,7.8958,1,0,1,0
102,103,0,1,2,0,1,77.2875,1,0,1,4
103,104,0,3,2,0,0,8.6542,1,0,1,1
104,105,0,3,2,2,0,7.925,1,0,1,1
105,106,0,3,2,0,0,7.8958,1,0,1,0
106,107,1,3,2,0,0,7.65,0,0,1,0
107,108,1,3,3,0,0,7.775,1,0,1,0
108,109,0,3,2,0,0,7.8958,1,0,1,0
109,110,1,3,3,1,0,24.15,0,1,0,2
110,111,0,1,2,0,0,52.0,1,0,1,4
111,112,0,3,1,1,0,14.4542,0,0,0,1
112,113,0,3,2,0,0,8.05,1,0,1,1
113,114,0,3,2,1,0,9.825,0,0,1,1
114,115,0,3,1,0,0,14.4583,0,0,0,2
115,116,0,3,2,0,0,7.925,1,0,1,1
116,117,0,3,3,0,0,7.75,1,1,0,0
117,118,0,2,2,1,0,21.0,1,0,1,2
118,119,0,1,2,0,1,247.5208,1,0,0,4
119,120,0,3,0,4,2,31.275,0,0,1,4
120,121,0,2,2,2,0,73.5,1,0,1,4
121,122,0,3,3,0,0,8.05,1,0,1,1
122,123,0,2,2,1,0,30.0708,1,0,0,2
123,124,1,2,2,0,0,13.0,0,0,1,1
124,125,0,1,2,0,1,77.2875,1,0,1,4
125,126,1,3,0,1,0,11.2417,1,0,0,1
126,127,0,3,3,0,0,7.75,1,1,0,0
127,128,1,3,2,0,0,7.1417,1,0,1,0
128,129,1,3,3,1,1,22.3583,0,0,0,2
129,130,0,3,2,0,0,6.975,1,0,1,0
130,131,0,3,2,0,0,7.8958,1,0,0,0
131,132,0,3,2,0,0,7.05,1,0,1,0
132,133,0,3,2,1,0,14.5,0,0,1,2
133,134,1,2,2,1,0,26.0,0,0,1,2
134,135,0,2,2,0,0,13.0,1,0,1,1
135,136,0,2,2,0,0,15.0458,1,0,0,2
136,137,1,1,2,0,2,26.2833,0,0,1,2
137,138,0,1,2,1,0,53.1,1,0,1,4
138,139,0,3,1,0,0,9.2167,1,0,1,1
139,140,0,1,2,0,0,79.2,1,0,0,4
140,141,0,3,3,0,2,15.2458,0,0,0,2
141,142,1,3,2,0,0,7.75,0,0,1,0
142,143,1,3,2,1,0,15.85,0,0,1,2
143,144,0,3,2,0,0,6.75,1,1,0,0
144,145,0,2,1,0,0,11.5,1,0,1,1
145,146,0,2,2,1,1,36.75,1,0,1,4
146,147,1,3,2,0,0,7.7958,1,0,1,0
147,148,0,3,0,2,2,34.375,0,0,1,4
148,149,0,2,2,0,2,26.0,1,0,1,2
149,150,0,2,2,0,0,13.0,1,0,1,1
150,151,0,2,2,0,0,12.525,1,0,1,1
151,152,1,1,2,1,0,66.6,0,0,1,4
152,153,0,3,2,0,0,8.05,1,0,1,1
153,154,0,3,2,0,2,14.5,1,0,1,2
154,155,0,3,3,0,0,7.3125,1,0,1,0
155,156,0,1,2,0,1,61.3792,1,0,0,4
156,157,1,3,1,0,0,7.7333,0,1,0,0
157,158,0,3,2,0,0,8.05,1,0,1,1
158,159,0,3,3,0,0,8.6625,1,0,1,1
159,160,0,3,3,8,2,69.55,1,0,1,4
160,161,0,3,2,0,1,16.1,1,0,1,2
161,162,1,2,2,0,0,15.75,0,0,1,2
162,163,0,3,2,0,0,7.775,1,0,1,0
163,164,0,3,1,0,0,8.6625,1,0,1,1
164,165,0,3,0,4,1,39.6875,1,0,1,4
165,166,1,3,0,0,2,20.525,1,0,1,2
166,167,1,1,3,0,1,55.0,0,0,1,4
167,168,0,3,2,1,4,27.9,0,0,1,2
168,169,0,1,3,0,0,25.925,1,0,1,2
169,170,0,3,2,0,0,56.4958,1,0,1,4
170,171,0,1,3,0,0,33.5,1,0,1,4
171,172,0,3,0,4,1,29.125,1,1,0,2
172,173,1,3,0,1,1,11.1333,0,0,1,1
173,174,0,3,2,0,0,7.925,1,0,1,1
174,175,0,1,2,0,0,30.6958,1,0,0,2
175,176,0,3,1,1,1,7.8542,1,0,1,0
176,177,0,3,3,3,1,25.4667,1,0,1,2
177,178,0,1,2,0,0,28.7125,0,0,0,2
178,179,0,2,2,0,0,13.0,1,0,1,1
179,180,0,3,2,0,0,0.0,1,0,1,0
180,181,0,3,3,8,2,69.55,0,0,1,4
181,182,0,2,3,0,0,15.05,1,0,0,2
182,183,0,3,0,4,2,31.3875,1,0,1,4
183,184,1,2,0,2,1,39.0,1,0,1,4
184,185,1,3,0,0,2,22.025,0,0,1,2
185,186,0,1,3,0,0,50.0,1,0,1,4
186,187,1,3,3,1,0,15.5,0,1,0,2
187,188,1,1,2,0,0,26.55,1,0,1,2
188,189,0,3,2,1,1,15.5,1,1,0,2
189,190,0,3,2,0,0,7.8958,1,0,1,0
190,191,1,2,2,0,0,13.0,0,0,1,1
191,192,0,2,2,0,0,13.0,1,0,1,1
192,193,1,3,2,1,0,7.8542,0,0,1,0
193,194,1,2,0,1,1,26.0,1,0,1,2
194,195,1,1,2,0,0,27.7208,0,0,0,2
195,196,1,1,2,0,0,146.5208,0,0,0,4
196,197,0,3,3,0,0,7.75,1,1,0,0
197,198,0,3,2,0,1,8.4042,1,0,1,1
198,199,1,3,3,0,0,7.75,0,1,0,0
199,200,0,2,2,0,0,13.0,0,0,1,1
200,201,0,3,2,0,0,9.5,1,0,1,1
201,202,0,3,3,8,2,69.55,1,0,1,4
202,203,0,3,2,0,0,6.4958,1,0,1,0
203,204,0,3,2,0,0,7.225,1,0,0,0
204,205,1,3,1,0,0,8.05,1,0,1,1
205,206,0,3,0,0,1,10.4625,0,0,1,1
206,207,0,3,2,1,0,15.85,1,0,1,2
207,208,1,3,2,0,0,18.7875,1,0,0,2
208,209,1,3,1,0,0,7.75,0,1,0,0
209,210,1,1,2,0,0,31.0,1,0,0,2
210,211,0,3,2,0,0,7.05,1,0,1,0
211,212,1,2,2,0,0,21.0,0,0,1,2
212,213,0,3,2,0,0,7.25,1,0,1,0
213,214,0,2,2,0,0,13.0,1,0,1,1
214,215,0,3,3,1,0,7.75,1,1,0,0
215,216,1,1,2,1,0,113.275,0,0,0,4
216,217,1,3,2,0,0,7.925,0,0,1,1
217,218,0,2,2,1,0,27.0,1,0,1,2
218,219,1,1,2,0,0,76.2917,0,0,0,4
219,220,0,2,2,0,0,10.5,1,0,1,1
220,221,1,3,1,0,0,8.05,1,0,1,1
221,222,0,2,2,0,0,13.0,1,0,1,1
222,223,0,3,2,0,0,8.05,1,0,1,1
223,224,0,3,3,0,0,7.8958,1,0,1,0
224,225,1,1,2,1,0,90.0,1,0,1,4
225,226,0,3,2,0,0,9.35,1,0,1,1
226,227,1,2,2,0,0,10.5,1,0,1,1
227,228,0,3,2,0,0,7.25,1,0,1,0
228,229,0,2,1,0,0,13.0,1,0,1,1
229,230,0,3,3,3,1,25.4667,0,0,1,2
230,231,1,1,2,1,0,83.475,0,0,1,4
231,232,0,3,2,0,0,7.775,1,0,1,0
232,233,0,2,2,0,0,13.5,1,0,1,1
233,234,1,3,0,4,2,31.3875,0,0,1,4
234,235,0,2,2,0,0,10.5,1,0,1,1
235,236,0,3,3,0,0,7.55,0,0,1,0
236,237,0,2,2,1,0,26.0,1,0,1,2
237,238,1,2,0,0,2,26.25,0,0,1,2
238,239,0,2,2,0,0,10.5,1,0,1,1
239,240,0,2,2,0,0,12.275,1,0,1,1
240,241,0,3,3,1,0,14.4542,0,0,0,1
241,242,1,3,3,1,0,15.5,0,1,0,2
242,243,0,2,2,0,0,10.5,1,0,1,1
243,244,0,3,2,0,0,7.125,1,0,1,0
244,245,0,3,2,0,0,7.225,1,0,0,0
245,246,0,1,2,2,0,90.0,1,1,0,4
246,247,0,3,2,0,0,7.775,0,0,1,0
247,248,1,2,2,0,2,14.5,0,0,1,2
248,249,1,1,2,1,1,52.5542,1,0,1,4
249,250,0,2,2,1,0,26.0,1,0,1,2
250,251,0,3,3,0,0,7.25,1,0,1,0
251,252,0,3,2,1,1,10.4625,0,0,1,1
252,253,0,1,3,0,0,26.55,1,0,1,2
253,254,0,3,2,1,0,16.1,1,0,1,2
254,255,0,3,2,0,2,20.2125,0,0,1,2
255,256,1,3,2,0,2,15.2458,0,0,0,2
256,257,1,1,3,0,0,79.2,0,0,0,4
257,258,1,1,2,0,0,86.5,0,0,1,4
258,259,1,1,2,0,0,512.3292,0,0,0,4
259,260,1,2,2,0,1,26.0,0,0,1,2
260,261,0,3,3,0,0,7.75,1,1,0,0
261,262,1,3,0,4,2,31.3875,1,0,1,4
262,263,0,1,2,1,1,79.65,1,0,1,4
263,264,0,1,2,0,0,0.0,1,0,1,0
264,265,0,3,3,0,0,7.75,0,1,0,0
265,266,0,2,2,0,0,10.5,1,0,1,1
266,267,0,3,1,4,1,39.6875,1,0,1,4
267,268,1,3,2,1,0,7.775,1,0,1,0
268,269,1,1,2,0,1,153.4625,0,0,1,4
269,270,1,1,2,0,0,135.6333,0,0,1,4
270,271,0,1,3,0,0,31.0,1,0,1,2
271,272,1,3,2,0,0,0.0,1,0,1,0
272,273,1,2,2,0,1,19.5,0,0,1,2
273,274,0,1,2,0,1,29.7,1,0,0,2
274,275,1,3,3,0,0,7.75,0,1,0,0
275,276,1,1,3,1,0,77.9583,0,0,1,4
276,277,0,3,2,0,0,7.75,0,0,1,0
277,278,0,2,3,0,0,0.0,1,0,1,0
278,279,0,3,0,4,1,29.125,1,1,0,2
279,280,1,3,2,1,1,20.25,0,0,1,2
280,281,0,3,3,0,0,7.75,1,1,0,0
281,282,0,3,2,0,0,7.8542,1,0,1,0
282,283,0,3,1,0,0,9.5,1,0,1,1
283,284,1,3,2,0,0,8.05,1,0,1,1
284,285,0,1,3,0,0,26.0,1,0,1,2
285,286,0,3,2,0,0,8.6625,1,0,0,1
286,287,1,3,2,0,0,9.5,1,0,1,1
287,288,0,3,2,0,0,7.8958,1,0,1,0
288,289,1,2,2,0,0,13.0,1,0,1,1
289,290,1,3,2,0,0,7.75,0,1,0,0
290,291,1,1,2,0,0,78.85,0,0,1,4
291,292,1,1,2,1,0,91.0792,0,0,0,4
292,293,0,2,2,0,0,12.875,1,0,0,1
293,294,0,3,2,0,0,8.85,0,0,1,1
294,295,0,3,2,0,0,7.8958,1,0,1,0
295,296,0,1,3,0,0,27.7208,1,0,0,2
296,297,0,3,2,0,0,7.2292,1,0,0,0
297,298,0,1,0,1,2,151.55,0,0,1,4
298,299,1,1,3,0,0,30.5,1,0,1,2
299,300,1,1,2,0,1,247.5208,0,0,0,4
300,301,1,3,3,0,0,7.75,0,1,0,0
301,302,1,3,3,2,0,23.25,1,1,0,2
302,303,0,3,2,0,0,0.0,1,0,1,0
303,304,1,2,3,0,0,12.35,0,1,0,1
304,305,0,3,3,0,0,8.05,1,0,1,1
305,306,1,1,0,1,2,151.55,1,0,1,4
306,307,1,1,3,0,0,110.8833,0,0,0,4
307,308,1,1,1,1,0,108.9,0,0,0,4
308,309,0,2,2,1,0,24.0,1,0,0,2
309,310,1,1,2,0,0,56.9292,0,0,0,4
310,311,1,1,2,0,0,83.1583,0,0,0,4
311,312,1,1,1,2,2,262.375,0,0,0,4
312,313,0,2,2,1,1,26.0,0,0,1,2
313,314,0,3,2,0,0,7.8958,1,0,1,0
314,315,0,2,2,1,1,26.25,1,0,1,2
315,316,1,3,2,0,0,7.8542,0,0,1,0
316,317,1,2,2,1,0,26.0,0,0,1,2
317,318,0,2,2,0,0,14.0,1,0,1,1
318,319,1,1,2,0,2,164.8667,0,0,1,4
319,320,1,1,2,1,1,134.5,0,0,0,4
320,321,0,3,2,0,0,7.25,1,0,1,0
321,322,0,3,2,0,0,7.8958,1,0,1,0
322,323,1,2,2,0,0,12.35,0,1,0,1
323,324,1,2,2,1,1,29.0,0,0,1,2
324,325,0,3,3,8,2,69.55,1,0,1,4
325,326,1,1,2,0,0,135.6333,0,0,0,4
326,327,0,3,3,0,0,6.2375,1,0,1,0
327,328,1,2,2,0,0,13.0,0,0,1,1
328,329,1,3,2,1,1,20.525,0,0,1,2
329,330,1,1,1,0,1,57.9792,0,0,0,4
330,331,1,3,3,2,0,23.25,0,1,0,2
331,332,0,1,2,0,0,28.5,1,0,1,2
332,333,0,1,2,0,1,153.4625,1,0,1,4
333,334,0,3,1,2,0,18.0,1,0,1,2
334,335,1,1,3,1,0,133.65,0,0,1,4
335,336,0,3,3,0,0,7.8958,1,0,1,0
336,337,0,1,2,1,0,66.6,1,0,1,4
337,338,1,1,2,0,0,134.5,0,0,0,4
338,339,1,3,2,0,0,8.05,1,0,1,1
339,340,0,1,2,0,0,35.5,1,0,1,4
340,341,1,2,0,1,1,26.0,1,0,1,2
341,342,1,1,2,3,2,263.0,0,0,1,4
342,343,0,2,2,0,0,13.0,1,0,1,1
343,344,0,2,2,0,0,13.0,1,0,1,1
344,345,0,2,2,0,0,13.0,1,0,1,1
345,346,1,2,2,0,0,13.0,0,0,1,1
346,347,1,2,2,0,0,13.0,0,0,1,1
347,348,1,3,3,1,0,16.1,0,0,1,2
348,349,1,3,0,1,1,15.9,1,0,1,2
349,350,0,3,2,0,0,8.6625,1,0,1,1
350,351,0,3,2,0,0,9.225,1,0,1,1
351,352,0,1,3,0,0,35.0,1,0,1,4
352,353,0,3,1,1,1,7.2292,1,0,0,0
353,354,0,3,2,1,0,17.8,1,0,1,2
354,355,0,3,3,0,0,7.225,1,0,0,0
355,356,0,3,2,0,0,9.5,1,0,1,1
356,357,1,1,2,0,1,55.0,0,0,1,4
357,358,0,2,2,0,0,13.0,0,0,1,1
358,359,1,3,3,0,0,7.8792,0,1,0,0
359,360,1,3,3,0,0,7.8792,0,1,0,0
360,361,0,3,2,1,4,27.9,1,0,1,2
361,362,0,2,2,1,0,27.7208,1,0,0,2
362,363,0,3,2,0,1,14.4542,0,0,0,1
363,364,0,3,2,0,0,7.05,1,0,1,0
364,365,0,3,3,1,0,15.5,1,1,0,2
365,366,0,3,2,0,0,7.25,1,0,1,0
366,367,1,1,3,1,0,75.25,0,0,0,4
367,368,1,3,3,0,0,7.2292,0,0,0,0
368,369,1,3,3,0,0,7.75,0,1,0,0
369,370,1,1,2,0,0,69.3,0,0,0,4
370,371,1,1,2,1,0,55.4417,1,0,0,4
371,372,0,3,1,1,0,6.4958,1,0,1,0
372,373,0,3,2,0,0,8.05,1,0,1,1
373,374,0,1,2,0,0,135.6333,1,0,0,4
374,375,0,3,0,3,1,21.075,0,0,1,2
375,376,1,1,3,1,0,82.1708,0,0,0,4
376,377,1,3,2,0,0,7.25,0,0,1,0
377,378,0,1,2,0,2,211.5,1,0,0,4
378,379,0,3,2,0,0,4.0125,1,0,0,0
379,380,0,3,2,0,0,7.775,1,0,1,0
380,381,1,1,2,0,0,227.525,0,0,0,4
381,382,1,3,0,0,2,15.7417,0,0,0,2
382,383,0,3,2,0,0,7.925,1,0,1,1
383,384,1,1,2,1,0,52.0,0,0,1,4
384,385,0,3,3,0,0,7.8958,1,0,1,0
385,386,0,2,1,0,0,73.5,1,0,1,4
386,387,0,3,0,5,2,46.9,1,0,1,4
387,388,1,2,2,0,0,13.0,0,0,1,1
388,389,0,3,3,0,0,7.7292,1,1,0,0
389,390,1,2,1,0,0,12.0,0,0,0,1
390,391,1,1,2,1,2,120.0,1,0,1,4
391,392,1,3,2,0,0,7.7958,1,0,1,0
392,393,0,3,2,2,0,7.925,1,0,1,1
393,394,1,1,2,1,0,113.275,0,0,0,4
394,395,1,3,2,0,2,16.7,0,0,1,2
395,396,0,3,2,0,0,7.7958,1,0,1,0
396,397,0,3,2,0,0,7.8542,0,0,1,0
397,398,0,2,2,0,0,26.0,1,0,1,2
398,399,0,2,2,0,0,10.5,1,0,1,1
399,400,1,2,2,0,0,12.65,0,0,1,1
400,401,1,3,2,0,0,7.925,1,0,1,1
401,402,0,3,2,0,0,8.05,1,0,1,1
402,403,0,3,2,1,0,9.825,0,0,1,1
403,404,0,3,2,1,0,15.85,1,0,1,2
404,405,0,3,2,0,0,8.6625,0,0,1,1
405,406,0,2,2,1,0,21.0,1,0,1,2
406,407,0,3,2,0,0,7.75,1,0,1,0
407,408,1,2,0,1,1,18.75,1,0,1,2
408,409,0,3,2,0,0,7.775,1,0,1,0
409,410,0,3,3,3,1,25.4667,0,0,1,2
410,411,0,3,3,0,0,7.8958,1,0,1,0
411,412,0,3,3,0,0,6.8583,1,1,0,0
412,413,1,1,2,1,0,90.0,0,1,0,4
413,414,0,2,3,0,0,0.0,1,0,1,0
414,415,1,3,2,0,0,7.925,1,0,1,1
415,416,0,3,3,0,0,8.05,0,0,1,1
416,417,1,2,2,1,1,32.5,0,0,1,4
417,418,1,2,1,0,2,13.0,0,0,1,1
418,419,0,2,2,0,0,13.0,1,0,1,1
419,420,0,3,0,0,2,24.15,0,0,1,2
420,421,0,3,3,0,0,7.8958,1,0,0,0
421,422,0,3,2,0,0,7.7333,1,1,0,0
422,423,0,3,2,0,0,7.875,1,0,1,0
423,424,0,3,2,1,1,14.4,0,0,1,1
424,425,0,3,1,1,1,20.2125,1,0,1,2
425,426,0,3,3,0,0,7.25,1,0,1,0
426,427,1,2,2,1,0,26.0,0,0,1,2
427,428,1,2,2,0,0,26.0,0,0,1,2
428,429,0,3,3,0,0,7.75,1,1,0,0
429,430,1,3,2,0,0,8.05,1,0,1,1
430,431,1,1,2,0,0,26.55,1,0,1,2
431,432,1,3,3,1,0,16.1,0,0,1,2
432,433,1,2,2,1,0,26.0,0,0,1,2
433,434,0,3,1,0,0,7.125,1,0,1,0
434,435,0,1,2,1,0,55.9,1,0,1,4
435,436,1,1,1,1,2,120.0,0,0,1,4
436,437,0,3,2,2,2,34.375,0,0,1,4
437,438,1,2,2,2,3,18.75,0,0,1,2
438,439,0,1,3,1,4,263.0,1,0,1,4
439,440,0,2,2,0,0,10.5,1,0,1,1
440,441,1,2,2,1,1,26.25,0,0,1,2
441,442,0,3,2,0,0,9.5,1,0,1,1
442,443,0,3,2,1,0,7.775,1,0,1,0
443,444,1,2,2,0,0,13.0,0,0,1,1
444,445,1,3,3,0,0,8.1125,1,0,1,1
445,446,1,1,0,0,2,81.8583,1,0,1,4
446,447,1,2,1,0,1,19.5,0,0,1,2
